amount,block_rfq_id,block_trade_id,block_trade_leg_count,combo_id,combo_trade_id,contracts,direction,index_price,instrument_name,iv,liquidation,mark_price,price,tick_direction,timestamp,trade_id,trade_seq
0.1,,,,,,0.1,sell,113075.48,BTC-28NOV25-140000-C,45.58,,0.0079536,0.008,2,1760486393586,391087420,2793
0.1,,,,,,0.1,buy,113091.89,BTC-15OCT25-113000-P,36.53,,0.00367364,0.004,0,1760486383957,391087389,291
0.8,,,,,,0.8,sell,113114.0,BTC-18OCT25-104000-P,62.84,,0.00198741,0.0021,0,1760486296070,391087330,14
0.3,,,,,,0.3,sell,113109.21,BTC-31OCT25-102000-P,49.15,,0.00790685,0.008,1,1760486293945,391087329,2148
2.0,,,,,,2.0,sell,113165.63,BTC-31OCT25-114000-C,41.46,,0.0326786,0.0325,2,1760486243215,391087232,2071
0.2,,,,,,0.2,buy,113169.86,BTC-31OCT25-107000-P,45.28,,0.01530517,0.0155,1,1760486242841,391087231,125
0.1,,,,,,0.1,sell,113169.86,BTC-28NOV25-110000-C,44.33,,0.07954173,0.0795,2,1760486242665,391087224,680
0.1,,,,,,0.1,buy,113169.86,BTC-31OCT25-114000-P,41.77,,0.037894,0.038,0,1760486242643,391087222,2480
0.1,,,,,,0.1,sell,113169.86,BTC-28NOV25-134000-C,44.09,,0.0124309,0.0125,1,1760486242531,391087220,332
1.6,,,,,,1.6,buy,113169.86,BTC-24OCT25-100000-P,54.52,,0.00281146,0.0028,3,1760486242441,391087211,300
0.1,,,,,,0.1,buy,113169.86,BTC-26DEC25-105000-P,46.77,,0.04433463,0.0445,1,1760486242438,391087209,5116
0.1,,,,,,0.1,sell,113181.64,BTC-28NOV25-114000-C,43.61,,0.0603233,0.0605,2,1760486237769,391087116,1205
0.1,,,,,,0.1,buy,113165.41,BTC-26DEC25-142000-C,46.22,,0.01759012,0.0175,2,1760486180995,391087040,297
0.1,,,,,,0.1,sell,113155.7,BTC-28NOV25-112000-C,43.96,,0.06941701,0.0695,2,1760486161013,391086901,1334
0.1,,,,,,0.1,sell,113160.64,BTC-28NOV25-160000-C,52.55,,0.00265249,0.0027,2,1760486153817,391086891,1033
0.1,,,,,,0.1,sell,113169.5,BTC-28NOV25-108000-C,44.93,,0.09051448,0.0905,2,1760486147767,391086880,202
1.2,,,,,,1.2,sell,113179.64,BTC-26DEC25-130000-C,45.22,,0.03440903,0.0345,3,1760486144557,391086871,10845
6.4,,,,,,6.4,sell,113204.9,BTC-15OCT25-112000-P,42.93,,0.00135892,0.0015,1,1760486096024,391086801,312
0.9,,,,,,0.9,sell,113235.99,BTC-31OCT25-160000-C,64.35,,0.00038267,0.0003,3,1760486053097,391086743,1124
0.1,,,,,,0.1,sell,113224.42,BTC-24OCT25-114000-C,39.52,,0.02302768,0.0225,0,1760486041551,391086735,162
0.1,,,,,,0.1,buy,113260.68,BTC-24OCT25-120000-C,40.52,,0.00679466,0.007,1,1760485888333,391086582,534
0.1,,,,,,0.1,buy,113293.26,BTC-24OCT25-104000-P,50.22,,0.00530275,0.0055,1,1760485862431,391086565,146
0.1,,,,,,0.1,sell,113355.71,BTC-28NOV25-118000-C,43.03,,0.04548146,0.0455,2,1760485749076,391086391,1121
0.1,,,,,,0.1,buy,113302.12,BTC-26DEC25-85000-P,54.01,,0.01060273,0.0105,3,1760485533733,391086068,5543
0.1,,,,,,0.1,buy,113291.6,BTC-27MAR26-130000-C,46.16,,0.08088619,0.0805,0,1760485530766,391086061,2688
0.1,,,,,,0.1,buy,113344.92,BTC-17OCT25-110000-P,46.7,,0.00453847,0.0044,1,1760485490255,391085987,894
0.9,,,,,,0.9,buy,113358.94,BTC-17OCT25-111000-P,44.42,,0.00610635,0.006,3,1760485462646,391085960,640
1.1,,,,,,1.1,sell,113374.84,BTC-26DEC25-115000-C,45.31,,0.07938619,0.0795,3,1760485411847,391085926,3741
0.1,,,,,,0.1,buy,113393.54,BTC-31OCT25-113000-P,41.81,,0.03250677,0.0325,0,1760485391897,391085884,241
0.1,,,,,,0.1,buy,113364.38,BTC-17OCT25-113000-P,41.09,,0.01166883,0.0115,1,1760485374956,391085696,1132
0.1,,,,,,0.1,buy,113364.58,BTC-31OCT25-108000-P,44.34,,0.01696647,0.017,2,1760485371218,391085693,3062
0.1,,,,,,0.1,buy,113377.94,BTC-26DEC25-75000-P,59.59,,0.0048563,0.0049,2,1760485339289,391085679,2139
4.2,,,,,,4.2,buy,113377.94,BTC-27MAR26-170000-C,48.02,,0.02316819,0.023,1,1760485338764,391085678,959
10.0,,,,,,10.0,buy,113457.1,BTC-28NOV25-102000-P,47.18,,0.02218518,0.0225,1,1760485137780,391085472,916
0.1,,,,,,0.1,sell,113476.7,BTC-28NOV25-145000-C,46.99,,0.00597768,0.006,3,1760485059578,391085400,531
0.1,,,,,,0.1,buy,113509.87,BTC-27MAR26-80000-P,52.09,,0.02008525,0.02,3,1760484993951,391085286,1040
0.1,,,,,,0.1,sell,113458.95,BTC-26JUN26-180000-C,47.83,,0.03780722,0.0375,2,1760484970985,391085128,301
2.0,,,,,,2.0,sell,113471.21,BTC-24OCT25-118000-C,38.88,,0.01093797,0.0105,1,1760484965618,391085125,281
0.2,,,,,,0.2,buy,113488.66,BTC-28NOV25-105000-P,46.03,,0.02868096,0.029,3,1760484948578,391085109,1006
0.1,,,,,,0.1,sell,113488.43,BTC-26DEC25-112000-C,45.53,,0.09300389,0.093,2,1760484943623,391085107,187
0.1,,,,,,0.1,buy,113487.27,BTC-27MAR26-120000-P,46.2,,0.13818512,0.138,3,1760484937952,391085106,579
3.0,,,,,,3.0,sell,113493.58,BTC-31OCT25-120000-C,40.15,,0.01450684,0.014,1,1760484926390,391085094,8079
